cell,delta_lower,delta_upper,endpoint_real_lower,distance_real_lower,argument_norm_upper
31,0.049401283264160156,0.050994873046875,0.08352670415203693,0.08133533243186172,0.0301624859291384
32,0.050994873046875,0.052588462829589844,0.08316012344284487,0.0817406885671048,0.031206331092282012
33,0.052588462829589844,0.05418205261230469,0.0827908800841968,0.08213928461884425,0.03225660959748043
34,0.05418205261230469,0.05577564239501953,0.08241890784945337,0.08253108636457801,0.03331334522700027
35,0.05577564239501953,0.057369232177734375,0.08204413981214591,0.08291606313461915,0.03437656150056512
36,0.057369232177734375,0.05896282196044922,0.08166650942334863,0.08329418795146465,0.035446281666432405
37,0.05896282196044922,0.06055641174316406,0.08128595036085114,0.08366543767162611,0.03652252869232516
38,0.06055641174316406,0.062150001525878906,0.0809023958103062,0.08402979312989474,0.03760532525621728
39,0.062150001525878906,0.06374359130859375,0.08051577890006,0.0843872392859973,0.03869469373697303
40,0.06374359130859375,0.0653371810913086,0.08012603273963415,0.08473776537362245,0.03979065620483771
41,0.0653371810913086,0.06693077087402344,0.07973309045961345,0.08508136505178236,0.04089323441178059
42,0.06693077087402344,0.06852436065673828,0.07933688525295905,0.08541803655845231,0.04200244978168786
43,0.06852436065673828,0.07011795043945312,0.07893735041776691,0.08574778286645711,0.043118323400406264
44,0.07011795043945312,0.07171154022216797,0.07853441940149046,0.08607061184154158,0.0442408760056354
45,0.07171154022216797,0.07330513000488281,0.07812802584664456,0.08638653640257184,0.04537012797666926
46,0.07330513000488281,0.07489871978759766,0.07771810363800939,0.08669557468381787,0.046506099323985556
47,0.07489871978759766,0.0764923095703125,0.07730458695134829,0.08699775019923031,0.047648809678682465
48,0.0764923095703125,0.07808589935302734,0.07688741030365603,0.0872930920086568,0.04879827828176327
49,0.07808589935302734,0.07967948913574219,0.07646650860495019,0.08758163488590605,0.049954523973267335
50,0.07967948913574219,0.08127307891845703,0.07604181721161993,0.08786341948860443,0.05111756518124711
51,0.08127307891845703,0.08286666870117188,0.07561327198134161,0.08813849252972271,0.05228741991059211
52,0.08286666870117188,0.08446025848388672,0.07518080932957186,0.088406906950693,0.053464105731698436
53,0.08446025848388672,0.08605384826660156,0.07474436628762789,0.08866872209603265,0.054647639768984194
54,0.08605384826660156,0.0876474380493164,0.0743038805623596,0.08892400388933216,0.055838038689250885
55,0.0876474380493164,0.08924102783203125,0.0738592905974215,0.08917282501053271,0.05703531868989018
56,0.08924102783203125,0.0908346176147461,0.07341053563614573,0.08941526507434207,0.05823949548693752
57,0.0908346176147461,0.09242820739746094,0.07295755578601908,0.08965141080967394,0.05945058430297097
